Code,Religiousness,Satisfaction with life,Emotional attachment to Europe,Emotional attachment to ones country,Feeling of safety walking alone after dark,Trust in politicians,Trust in the police,Trust in the legal system,Perceived state of health services in country nowadays,Perceived state of education in country nowadays,Happiness,Country
AT,4.279017788763896,7.424339761295608,5.055637972677831,7.334205598150398,2.033004138176754,2.4373263813547816,4.352503364681287,3.906607923368213,6.507808474407408,5.141118077938405,7.249160931448438,Austria
BE,4.468074040551015,6.908234635092613,4.820955066644053,6.195949490563171,2.030131401141615,2.812707023759179,4.413840314506461,3.5397706219172944,6.746204674597868,5.823639320267614,7.30251155558949,Belgium
CH,4.570017089077814,7.700370389058397,5.406310538684382,7.439433226754955,1.7351539022617957,3.7446911414161,4.458915472358437,4.229890692790421,6.282161065680175,6.09099533604963,7.848251596478804,Switzerland
CZ,2.3201279881221386,6.506126833020367,6.2808308640796,7.560109529551349,2.2514243243843155,2.560761814166452,4.152461759315916,3.572885276621706,5.571214465794683,5.795855842891244,6.653676822436386,Czechia
DE,3.88231477902208,6.784818964531592,5.323479643949955,6.868026859612344,2.2750566245825423,2.4879349669211623,4.324425912020997,3.4673745201789945,5.262630289816754,4.671321718469495,7.152271403622764,Germany
EE,3.1467562637697544,6.070266812673787,4.433393031383039,7.240980236902661,2.0146801258535065,2.370928719077068,4.276091232281479,3.6322909666118655,4.219556085723557,5.838378201616368,6.724610056687882,Estonia
ES,3.355269988390795,6.97979164981349,5.72013969239343,6.90425025508883,1.8989843172703045,1.3350757275983265,4.2793510064408125,2.3228569175466345,4.448585669251527,3.9458229668844176,7.499395115505924,Spain
FI,3.93517131555524,6.591630100007415,4.900710957220007,7.563869479293524,1.800653418511991,2.310474141778172,4.354585186194236,3.57828278187823,5.739884042591564,6.680969261436064,7.11401582659,Finland
FR,4.456865820215878,6.188521282208572,5.250216481931959,7.677416115082929,2.0061213167564085,1.9979098706744665,4.369583429732895,3.498731894126728,5.891362124922071,4.23865345281658,7.0946326459381295,France
GB,3.4458221801987143,6.737807998600896,3.836459883329968,6.548040777760136,2.020879301159717,2.4697181459805475,4.228392991072854,3.765759281669976,4.805990222463206,4.911977161115693,7.16555611200507,United Kingdom
HU,3.683568407484023,5.742923457813561,6.764483478594894,7.916774075625415,2.1845233736675,2.187483214341792,4.017062322544467,3.331182444078291,3.0053544380317083,3.936453006709227,6.448206139247417,Hungary
IE,4.442508621880728,6.801626314397996,4.751511278331768,7.416948335230078,1.9071049157263,2.698265738487293,4.078443714090605,3.862548435486524,3.3359052651945507,5.8533588645843455,7.129235264721477,Ireland
IL,5.421575669735315,7.521288181135247,2.518279490337698,7.8047085349187295,1.735151068363929,2.0537208909863374,3.088715405860033,3.1804678938427,5.727056047797365,4.383089054371141,7.670395126695032,Israel
IS,4.242521700651412,6.845955219657302,5.245792128213132,7.165338910496318,1.551659757563072,2.580735146786267,4.568751045181119,3.363977014735587,3.748379054586231,4.569405503895067,7.040006966662457,Iceland
IT,5.468958518114517,6.556219400623607,5.100734091827063,7.619951650462665,2.353955579719997,1.6694489982715306,4.352640903107575,3.253229140952709,4.801565514066063,4.624462560942578,6.9739027173730905,Italy
LT,5.333263470196707,5.789297662866601,4.904491676394316,7.253877724752272,2.4006374156503827,2.6732824936778123,4.330316656555209,3.64696777257356,4.22460267321455,4.606496625533288,6.082692668207736,Lithuania
NL,4.295157756571099,7.343503108823529,4.680555726040939,6.388239407206905,2.020152745295816,3.5507510106835976,4.745799196841519,4.196166414952463,5.434759994564987,5.890572557949402,7.51492150965183,Netherlands
NO,3.6556793570960378,7.32448969062132,5.626882328752209,7.883030870419249,1.7615899648858555,3.4809217644453674,4.498438479206845,4.264554721906556,5.62815816311284,6.145844365904949,7.5561369138936945,Norway
PL,5.926980596384735,6.858111556417338,6.488082621872239,8.180682105453577,1.8923092544175877,1.875509416920116,4.156556142960984,2.9682037224983544,3.367126104990123,5.258046475793242,7.344391074199593,Poland
PT,5.323909636988198,5.983981313254645,5.434202284052988,8.349135948158034,1.969431857087411,1.621405819205094,4.171901743693212,2.7034700028217817,4.754341803022228,4.6664320561294765,7.169207421899698,Portugal
RU,4.143429699314646,5.225287101187588,2.2760869628544818,6.855700752606688,2.083302681636339,2.6665561997434835,3.1792387610571957,3.154286587930545,3.4763705074659668,4.207772055889261,5.912063981516482,Russia
SE,2.753016989110961,7.510675288147145,5.560351582816852,7.54199658507693,1.8284305027565813,3.1972835076956105,4.267316060739154,3.972143514999524,4.692352290000108,4.280086199184474,7.559062191286611,Sweden
SI,4.691664041994918,6.674059091244348,4.750949416826232,6.875246997376884,1.762691080736157,1.6849353584310531,4.168658390229738,2.375344658757037,3.928592394942941,4.790245343368622,7.18738244106007,Slovenia
